chrom	gpseq_score
chr1	1.76409450990914
chr1	1.84041471619217
chr1	1.97868074175805
chr1	1.957597123886
chr1	1.99974301771124
chr1	1.8666375661845
chr1	1.8707517257372
chr1	1.86599804427524
chr1	2.00439951132285
chr1	2.05624526832224
chr1	2.04274378844779
chr1	2.07402485580815
chr1	1.93907894874559
chr1	1.98463086224697
chr1	1.96492251735032
chr1	2.05944489316329
chr1	2.05378063459123
chr1	2.09352685428281
chr1	2.04683399328617
chr1	1.98595742955253
chr1	1.9789519702532
chr1	1.93440019740417
chr1	2.07822220292569
chr1	2.00546439251692
chr1	1.98452035497778
chr1	1.91769432769234
chr1	1.89413439613639
chr1	1.85745751602116
chr1	1.83181080890366
chr1	1.83946111151051
chr1	1.81564870190495
chr1	1.79634841958321
chr1	1.72269658318598
chr1	1.7275069175869
chr1	1.72587980459323
chr1	1.72417298533464
chr1	1.73032841097018
chr1	1.70726316957998
chr1	1.71240444097224
chr1	1.68021777103029
chr1	1.61721155808603
chr1	1.59919161036666
chr1	1.5545291571599
chr1	1.55148253725659
chr1	1.53880189149701
chr1	1.55188131764796
chr1	1.55720152426668
chr1	1.54645342754092
chr1	1.55577480209422
chr1	1.57441784375508
chr1	1.61458834585879
chr1	1.6359670301094
chr1	1.63442613717009
chr1	1.66584263762471
chr1	1.66890650660325
chr1	1.69303370006656
chr1	1.71102606024785
chr1	1.72782512338693
chr1	1.70664169955609
chr1	1.71535555643494
chr1	1.74797573003367
chr1	1.74345188183393
chr1	1.77043795781135
chr1	1.74478912178264
chr1	1.75975505844601
chr1	1.78220833947637
chr1	1.7744616938105
chr1	1.77921841766107
chr1	1.78380450898546
chr1	1.78537916588263
chr1	1.73072868035226
chr1	1.72056541508796
chr1	1.74997593668909
chr1	1.71648743012385
chr1	1.77147718034719
chr1	1.72208424755208
chr1	1.72109611681427
chr1	1.70361800769577
chr1	1.70060695718876
chr1	1.71211840903726
chr1	1.69356316378835
chr1	1.67877900754863
chr1	1.71837799966284
chr1	1.72814338780029
chr1	1.66530757412461
chr1	1.6825367714143
chr1	1.64616637066103
chr1	1.65786310975393
chr1	1.6713101148474
chr1	1.64923643507848
chr1	1.66756313905265
chr1	1.69149701758298
chr1	1.61092713565984
chr1	1.6028467451808
chr1	1.62438302767291
chr1	1.6078664000989
chr1	1.65993083196195
chr1	1.67918892956871
chr1	1.71060836617742
chr1	1.75444907827922
chr1	1.79589451187504
chr1	1.7667865582415
chr1	1.82337208163579
