chrom	start	end	mean_gpseq_score	sd_gpseq_score	dln_median	dln_sd
chr1	17667187	18667187	1.758426619428	0.137939324274951	0.651698533794769	0.212906952984459
chr1	27191096	28191096	1.7236399187504	0.0402376107952393	0.672440207482031	0.188262091294527
chr1	36839466	37839466	1.70347837734444	0.157948698554871	0.622295751146018	0.212613062121371
chr1	112557969	113557969	1.48556896860472	0.0495019362183908	0.615798384885175	0.210934469145108
chr1	219135773	220135773	1.08539166758539	0.0155979910353741	0.382181717352227	0.177100424218884
chr1	228420486	229420486	1.43336257701265	0.0499665931408676	0.521695432792271	0.215766449996817
chr1	238409047	239409047	1.0568350311245	0.0114179052047694	0.308993281240892	0.16783717293973
chr15	35748836	36748836	1.33964930856819	0.0680309226853684	0.540171037867398	0.222539481299905
chr15	51128406	52128406	1.42768763000028	0.0263031286458549	0.593114535169027	0.205082357755341
chr15	60726855	61726855	1.37843161886087	0.0783457816635752	0.62614874569227	0.223683387126991
chr15	69581838	70581838	1.64509204267797	0.0741373517124807	0.664969984534148	0.235117900264475
chr15	77616367	78616367	1.6068811379536	0.0827025509309829	0.64141436942205	0.224056509878994
chr15	85801972	86801972	1.28043957860436	0.0842357869974026	0.538710256580747	0.258927035281246
chr17	15869658	16869658	1.60707105933641	0.0409540292736701	0.560201797417238	0.260342042853729
chr17	41458445	42458445	1.98259754007177	0.0250440985486365	0.731972383680747	0.229582443375303
chr17	75324722	76324722	1.84194692300548	0.0594501110147579	0.7	0.212192260382576
chr18	5056605	6056605	1.36311723744091	0.0486232770851118	0.548163884629638	0.202483599660463
chr18	9887098	10887098	1.43129253680696	0.0614280721107129	0.552668875693841	0.224124671628666
chr18	33536236	34536236	1.28786682929458	0.0259170289432914	0.548310114494084	0.209919312428268
chr18	36992398	37992398	1.17181832664176	0.0293017656357446	0.531023959818017	0.206285687336713
chr18	39567464	40567464	1.1313552125857	0.027426272916266	0.499118875527404	0.223427750482997
chr19	4758529	5758529	1.95829623319183	0.0685817070672617	0.7	0.21934113998279
chr19	8574253	9574253	1.80970885350839	0.228936564589833	0.665061827419758	0.238479000005154
chr19	13775870	14775870	1.85994038933607	0.117974895289007	0.675129866756442	0.23973183081668
chr19	42164231	43164231	1.76612042794641	0.0497494788705011	0.743917509312835	0.217858788749854
chr19	45830133	46830133	1.85603349814705	0.0107145565004836	0.697827333136124	0.237938175789891
chr21	14992868	15992868	1.39775955253433	0.095532720631671	0.537750122441742	0.24861346200669
chr21	18513988	19513988	1.31225330829988	0.0485865717991455	0.44774082380544	0.258116452896658
chr21	23151136	24151136	1.39069788913077	0.0781971543489611	0.480806459359604	0.247025352376754
chr21	25951141	26951141	1.31505200338805	0.0491822866424404	0.495391690590998	0.247035804817143
chr21	29379715	30379715	1.35673081387399	0.0517018668490439	0.49651450172684	0.263576929323105
chr21	33016146	34016146	1.4956836355457	0.0807753616695321	0.631484422650588	0.224014410180011
chr21	36868296	37868296	1.49965021177284	0.0620884766081943	0.619202697465284	0.22825692239742
chr21	40950333	41950333	1.57985299924847	0.075922919527444	0.600556451289344	0.251639493048595
chr22:9	18616326	19616326	1.90221854154088	0.0931627590376415	0.747658826228394	0.235364518247181
chr22:9	22919692	23919692	1.93057887181146	0.0766615418893958	0.755357241610785	0.222114615555111
chr4	82085423	83085423	1.14638807604162	0.0385996274911541	0.378032651272006	0.194026773268444
chr4	89807411	90807411	1.17394505997073	0.0723229386153244	0.472583201717956	0.154277532933243
chr4	156167824	157167824	1.06290454611148	0.0264297661733397	0.388116397635409	0.163122805946642
chr4	163596175	164596175	1.05920038832869	0.0299916808809774	0.370034418996044	0.152591004979315
chr4	173945065	174945065	1.05002850338154	0.0287202433500685	0.330595378429567	0.115738186306536
chr7	18204169	19204169	1.09285601434051	0.0420219208850452	0.509134698521686	0.194599133850022
chr7	27485217	28485217	1.36198420441751	0.0765717688884671	0.586814898322325	0.20647450422203
chr7	36989027	37989027	1.25072822553273	0.0517598651719432	0.454545454545454	0.203979270889643
chr7	130730482	131730482	1.31576199812757	0.0142950808396925	0.468572837852439	0.177191151128757
chr7	140419884	141419884	1.19208140747353	0.0203497473310371	0.443945420455967	0.146812449201029
chr7	149527665	150527665	1.22958765145582	0.122061465688363	0.391399408794876	0.16487123944387
chr8	12177594	13177594	1.1587632475285	0.0590332272209781	0.384483973595971	0.18768781650556
chr8	21131310	22131310	1.42855466773356	0.104310604072953	0.451091582481404	0.183710439062444
chr8	29925747	30925747	1.26283804294793	0.0556530704630317	0.472295563112213	0.220657017543097
chr8	57402135	58402135	1.23035970911795	0.0206217388540842	0.384499877989256	0.18582897447321
chr8	66568670	67568670	1.25600608457165	0.0542580590571657	0.461263858636909	0.199378006598833
chr8	72012178	73012178	1.17371458914786	0.0493861790682801	0.408496407793379	0.195183608173605
chr8	112567764	113567764	1.05203456647486	0.0388565339629079	0.377322626907118	0.179158977923138
chr8	121135600	122135600	1.07878205992495	0.0343770919668063	0.357421890775859	0.170636304252605
chr8	130200760	131200760	1.10402282927541	0.0704014440215917	0.42180019915456	0.196185247650495
chr9:22	136407554	137407554	1.52533238238878	0.0961758941867782	0.589546183878894	0.200732301601025
chr9:22	139971095	140971095	1.59748520374886	0.0249965436443978	0.606097075512953	0.199557809175995
chr9:22	144436243	145436243	1.31825457010241	0.0896762432388997	0.504117455696381	0.246447442505794
chr9:22	148671042	149671042	1.72469447096873	0.043131298929838	0.635473173720959	0.191391932277291
chrX	13303099	14303099	1.17313418162958	0.0377545113612842	0.446128643909308	0.173143086390468
chrX	21839265	22839265	1.14977266452542	0.0278727615168175	0.394074090713855	0.204030222111381
chrX	30311838	31311838	1.17053821900042	0.0283012490630843	0.449240112496354	0.172378435568742
chrX	67441761	68441761	1.31733491158918	0.0242160497570547	0.512983901638912	0.181706553788597
chrX	75518026	76518026	1.25474693265115	0.0653855433533955	0.420708934166068	0.183046514859922
chrX	122041455	123041455	1.1391167167941	0.0278205721737024	0.399339566483526	0.161419516796374
chrX	133259360	134259360	1.33588144725777	0.0414337281223461	0.511661016966044	0.161778024810322
chrX	140919366	141919366	1.08903422878823	0.0169363120217213	0.36829892143397	0.150357872834519
