chrom	dsn
chr1	0.423283
chr2	0.359118
chr3	0.335196
chr4	0.262968
chr5	0.3380355
chr6	0.309116
chr7	0.366586
chr8	0.3181145
chr9:22	0.433105
chr10	0.401441
chr11	0.3603815
chr12	0.3564165
chr13	0.358437
chr14	0.388137
chr15	0.536849
chr16	0.624513
chr17	0.6588415
chr18	0.393041
chr19	0.837953
chr20	0.614046
chr21	0.640283
chr22:9	0.7189255
chrX	0.294551
chr1	0.392591
chr2	0.352507
chr3	0.278369
chr4	0.274663
chr5	0.337677
chr6	0.278944
chr7	0.3538965
chr8	0.3350305
chr9:22	0.398687
chr10	0.4996105
chr11	0.3972785
chr12	0.426084
chr13	0.380949
chr14	0.426901
chr15	0.509461
chr16	0.572393
chr17	0.6399515
chr18	0.364545
chr19	0.818173
chr20	0.603245
chr21	0.594303
chr22:9	0.709295
chrX	0.316735
chr1	0.427575
chr2	0.33399
chr3	0.345764
chr4	0.24503
chr5	0.3048405
chr6	0.306996
chr7	0.359306
chr8	0.288371
chr9:22	0.3950005
chr10	0.4429855
chr11	0.364007
chr12	0.3891715
chr13	0.302808
chr14	0.504188
chr15	0.5078205
chr16	0.553232
chr17	0.689034
chr18	0.350882
chr19	0.820415
chr20	0.642412
chr21	0.541573
chr22:9	0.761302
chrX	0.320704
chr1	0.401403
chr2	0.3063
chr3	0.376121
chr4	0.294649
chr5	0.343724
chr6	0.330277
chr7	0.408327
chr8	0.2749595
chr9:22	0.4159175
chr10	0.4021515
chr11	0.3069005
chr12	0.377151
chr13	0.307528
chr14	0.469086
chr15	0.5454765
chr16	0.59937
chr17	0.7893765
chr18	0.366458
chr19	0.65769
chr20	0.560385
chr21	0.624521
chr22:9	0.624934
chrX	0.353442
chr1	0.403765
chr2	0.356134
chr3	0.311102
chr4	0.265357
chr5	0.2954525
chr6	0.288325
chr7	0.3512815
chr8	0.3582955
chr9:22	0.369613
chr10	0.407604
chr11	0.4319455
chr12	0.4073655
chr13	0.285717
chr14	0.449397
chr15	0.4965705
chr16	0.636929
chr17	0.6993235
chr18	0.336208
chr19	0.792551
chr20	0.651255
chr21	0.551723
chr22:9	0.6090025
chrX	0.332652
chr1	0.439018
chr2	0.352867
chr3	0.290498
chr4	0.266977
chr5	0.3479445
chr6	0.314585
chr7	0.39717
chr8	0.295678
chr9:22	0.34662
chr10	0.398728
chr11	0.323842
chr12	0.415693
chr13	0.268079
chr14	0.483638
chr15	0.5743835
chr16	0.602624
chr17	0.6373655
chr18	0.372886
chr19	0.831206
chr20	0.663929
chr21	0.552113
chr22:9	0.6405735
chrX	0.319639
chr1	0.39872
chr2	0.335623
chr3	0.347362
chr4	0.273857
chr5	0.339642
chr6	0.324298
chr7	0.343275
chr8	0.299949
chr9:22	0.3713765
chr10	0.3993655
chr11	0.3500865
chr12	0.4194975
chr13	0.324305
chr14	0.466395
chr15	0.5346265
chr16	0.618566
chr17	0.694241
chr18	0.381483
chr19	0.768423
chr20	0.644044
chr21	0.598379
chr22:9	0.709571
chrX	0.330983
chr1	0.401866
chr2	0.361911
chr3	0.350823
chr4	0.275945
chr5	0.3180355
chr6	0.407762
chr7	0.341119
chr8	0.335336
chr9:22	0.3477115
chr10	0.4320435
chr11	0.3533475
chr12	0.3621
chr13	0.335586
chr14	0.478978
chr15	0.5590355
chr16	0.638106
chr17	0.714337
chr18	0.312626
chr19	0.672366
chr20	0.581804
chr21	0.60699
chr22:9	0.756794
chrX	0.301688
chr1	0.405103
chr2	0.322692
chr3	0.321182
chr4	0.304925
chr5	0.3378115
chr6	0.306209
chr7	0.3695105
chr8	0.3263575
chr9:22	0.3492735
chr10	0.413129
chr11	0.375295
chr12	0.373158
chr13	0.335859
chr14	0.442452
chr15	0.536158
chr16	0.589227
chr17	0.657045
chr18	0.35093
chr19	0.741122
chr20	0.610851
chr21	0.627265
chr22:9	0.764033
chrX	0.324385
chr1	0.442439
chr2	0.338024
chr3	0.284929
chr4	0.268702
chr5	0.309068
chr6	0.315617
chr7	0.381765
chr8	0.3046655
chr9:22	0.372973
chr10	0.3951815
chr11	0.355364
chr12	0.413522
chr13	0.357009
chr14	0.423126
chr15	0.423183
chr16	0.673174
chr17	0.6900885
chr18	0.345569
chr19	0.802727
chr20	0.651543
chr21	0.545563
chr22:9	0.566742
chrX	0.318985
chr1	0.387675
chr2	0.333013
chr3	0.326158
chr4	0.243402
chr5	0.3116655
chr6	0.313161
chr7	0.387609
chr8	0.307615
chr9:22	0.382402
chr10	0.4095855
chr11	0.352251
chr12	0.3565245
chr13	0.275433
chr14	0.436185
chr15	0.5225135
chr16	0.627801
chr17	0.71132
chr18	0.405296
chr19	0.803087
chr20	0.612975
chr21	0.559801
chr22:9	0.592672
chrX	0.305785
chr1	0.406878
chr2	0.370912
chr3	0.336483
chr4	0.262103
chr5	0.337303
chr6	0.330987
chr7	0.4170015
chr8	0.299317
chr9:22	0.3634825
chr10	0.438833
chr11	0.3315805
chr12	0.4556905
chr13	0.334415
chr14	0.422153
chr15	0.569609
chr16	0.720321
chr17	0.7506245
chr18	0.325058
chr19	0.744425
chr20	0.621868
chr21	0.51056
chr22:9	0.6319085
chrX	0.314768
chr1	0.393607
chr2	0.342067
chr3	0.303064
chr4	0.265933
chr5	0.2903545
chr6	0.287528
chr7	0.3570155
chr8	0.319685
chr9:22	0.373561
chr10	0.4029395
chr11	0.3425275
chr12	0.397634
chr13	0.247707
chr14	0.408599
chr15	0.4926195
chr16	0.604722
chr17	0.7006415
chr18	0.378261
chr19	0.830039
chr20	0.613307
chr21	0.568705
chr22:9	0.4529085
chrX	0.296575
chr1	0.422838
chr2	0.337198
chr3	0.340187
chr4	0.356889
chr5	0.29735
chr6	0.349347
chr7	0.3612555
chr8	0.3259465
chr9:22	0.4019685
chr10	0.364338
chr11	0.367633
chr12	0.396726
chr13	0.301802
chr14	0.499869
chr15	0.509424
chr16	0.696821
chr17	0.6756045
chr18	0.338863
chr19	0.720434
chr20	0.605103
chr21	0.62916
chr22:9	0.7834805
chrX	0.328299
chr1	0.434795
chr2	0.3502
chr3	0.290574
chr4	0.297666
chr5	0.3369395
chr6	0.377338
chr7	0.3443145
chr8	0.35541
chr9:22	0.457281
chr10	0.38391
chr11	0.4312905
chr12	0.367072
chr13	0.374096
chr14	0.462968
chr15	0.555624
chr16	0.550198
chr17	0.678462
chr18	0.341886
chr19	0.80935
chr20	0.584938
chr21	0.591361
chr22:9	0.6295525
chrX	0.295885
chr1	0.446953
chr2	0.323038
chr3	0.310741
chr4	0.255881
chr5	0.311648
chr6	0.296738
chr7	0.384017
chr8	0.268988
chr9:22	0.4386385
chr10	0.3932835
chr11	0.3461435
chr12	0.339042
chr13	0.351999
chr14	0.443117
chr15	0.5889045
chr16	0.585854
chr17	0.5978555
chr18	0.365452
chr19	0.816383
chr20	0.605217
chr21	0.538455
chr22:9	0.7157455
chrX	0.289654
chr1	0.412746
chr2	0.317884
chr3	0.283546
chr4	0.296285
chr5	0.2927745
chr6	0.301767
chr7	0.378415
chr8	0.316614
chr9:22	0.3593565
chr10	0.400374
chr11	0.382583
chr12	0.3507365
chr13	0.241195
chr14	0.439827
chr15	0.5376825
chr16	0.629346
chr17	0.7950425
chr18	0.328889
chr19	0.676442
chr20	0.636349
chr21	0.530009
chr22:9	0.6866675
chrX	0.337209
chr1	0.444418
chr2	0.371542
chr3	0.295473
chr4	0.252199
chr5	0.342591
chr6	0.318624
chr7	0.3679405
chr8	0.357164
chr9:22	0.3471245
chr10	0.320876
chr11	0.3383705
chr12	0.3737535
chr13	0.290343
chr14	0.440308
chr15	0.50286
chr16	0.674795
chr17	0.6864955
chr18	0.340334
chr19	0.790415
chr20	0.618266
chr21	0.468431
chr22:9	0.5145575
chrX	0.332942
chr1	0.436366
chr2	0.338687
chr3	0.299337
chr4	0.254238
chr5	0.307262
chr6	0.376628
chr7	0.344272
chr8	0.3452055
chr9:22	0.362528
chr10	0.345399
chr11	0.3740385
chr12	0.376761
chr13	0.328565
chr14	0.43868
chr15	0.5777085
chr16	0.614219
chr17	0.672237
chr18	0.402203
chr19	0.742165
chr20	0.60502
chr21	0.627061
chr22:9	0.691015
chrX	0.381415
chr1	0.393647
chr2	0.357934
chr3	0.308245
chr4	0.256191
chr5	0.330959
chr6	0.291817
chr7	0.359174
chr8	0.329426
chr9:22	0.3427525
chr10	0.444799
chr11	0.38692
chr12	0.389993
chr13	0.404689
chr14	0.431459
chr15	0.5122295
chr16	0.57329
chr17	0.72682
chr18	0.389297
chr19	0.801155
chr20	0.58582
chr21	0.483787
chr22:9	0.5198285
chrX	0.305558
chr1	0.402325
chr2	0.334854
chr3	0.353879
chr4	0.265092
chr5	0.3095025
chr6	0.297483
chr7	0.348635
chr8	0.298876
chr9:22	0.368457
chr10	0.410283
chr11	0.3466365
chr12	0.3986085
chr13	0.280504
chr14	0.494939
chr15	0.535511
chr16	0.612279
chr17	0.753514
chr18	0.403506
chr19	0.781307
chr20	0.605981
chr21	0.624487
chr22:9	0.7143195
chrX	0.295702
chr1	0.416569
chr2	0.349637
chr3	0.323306
chr4	0.314672
chr5	0.3143915
chr6	0.309608
chr7	0.4193265
chr8	0.2754245
chr9:22	0.419346
chr10	0.3962825
chr11	0.3351155
chr12	0.4018625
chr13	0.356805
chr14	0.44026
chr15	0.546714
chr16	0.639539
chr17	0.73628
chr18	0.362741
chr19	0.739025
chr20	0.600066
chr21	0.428001
chr22:9	0.583534
chrX	0.31421
chr1	0.427097
chr2	0.34417
chr3	0.320795
chr4	0.280204
chr5	0.2927585
chr6	0.345414
chr7	0.383553
chr8	0.312006
chr9:22	0.4769925
chr10	0.383214
chr11	0.405264
chr12	0.3995115
chr13	0.311789
chr14	0.409141
chr15	0.4676
chr16	0.705189
chr17	0.7098345
chr18	0.350748
chr19	0.776502
chr20	0.515745
chr21	0.515592
chr22:9	0.5746875
chrX	0.331299
chr1	0.428552
chr2	0.362398
chr3	0.360258
chr4	0.262922
chr5	0.3105595
chr6	0.279366
chr7	0.35809
chr8	0.3384855
chr9:22	0.432826
chr10	0.4208275
chr11	0.4004955
chr12	0.3809625
chr13	0.371461
chr14	0.456448
chr15	0.540506
chr16	0.610724
chr17	0.779681
chr18	0.331122
chr19	0.642262
chr20	0.643925
chr21	0.552778
chr22:9	0.641077
chrX	0.307759
