chrom	start	end	condition	experiment	dln_median	mean_reads_per_site
chr1	17667187	18667187	10min	Exp.1	0.651698533794769	37.8215962441315
chr1	17667187	18667187	15min	Exp.1	0.651698533794769	71.8672985781991
chr1	17667187	18667187	30min	Exp.1	0.651698533794769	28.8142857142857
chr1	17667187	18667187	1h	Exp.1	0.651698533794769	10.3283582089552
chr1	17667187	18667187	2h	Exp.1	0.651698533794769	13.0526315789474
chr1	17667187	18667187	10min	Exp.2	0.651698533794769	17.9626168224299
chr1	17667187	18667187	15min	Exp.2	0.651698533794769	28.0909090909091
chr1	17667187	18667187	30min	Exp.2	0.651698533794769	13.5406698564593
chr1	17667187	18667187	1h	Exp.2	0.651698533794769	6.91044776119403
chr1	17667187	18667187	2h	Exp.2	0.651698533794769	16.7548076923077
chr1	27191096	28191096	10min	Exp.1	0.672440207482031	38.0471204188482
chr1	27191096	28191096	15min	Exp.1	0.672440207482031	68.6951871657754
chr1	27191096	28191096	30min	Exp.1	0.672440207482031	29.0331491712707
chr1	27191096	28191096	1h	Exp.1	0.672440207482031	9.7810650887574
chr1	27191096	28191096	2h	Exp.1	0.672440207482031	12.2897727272727
chr1	27191096	28191096	10min	Exp.2	0.672440207482031	18.2446808510638
chr1	27191096	28191096	15min	Exp.2	0.672440207482031	28.5597826086957
chr1	27191096	28191096	30min	Exp.2	0.672440207482031	13.8314606741573
chr1	27191096	28191096	1h	Exp.2	0.672440207482031	6.79113924050633
chr1	27191096	28191096	2h	Exp.2	0.672440207482031	15.2443181818182
chr1	36839466	37839466	10min	Exp.1	0.622295751146018	32.896265560166
chr1	36839466	37839466	15min	Exp.1	0.622295751146018	65.7676348547718
chr1	36839466	37839466	30min	Exp.1	0.622295751146018	24.4
chr1	36839466	37839466	1h	Exp.1	0.622295751146018	8.55066079295154
chr1	36839466	37839466	2h	Exp.1	0.622295751146018	10.7705627705628
chr1	36839466	37839466	10min	Exp.2	0.622295751146018	15.2893617021277
chr1	36839466	37839466	15min	Exp.2	0.622295751146018	26.114406779661
