chrom	start	end	log2_gpseq_score	atac_signal
chr1	100001	1100000	0.944221469338519	1.078446
chr1	200001	1200000	0.991827288927575	1.35705066666667
chr1	600001	1600000	0.988008484646441	2.083226
chr1	700001	1700000	0.987488821977362	2.19927933333333
chr1	800001	1800000	0.969821083456683	2.28718166666667
chr1	1300001	2300000	0.979621551418592	2.035899
chr1	1400001	2400000	0.997895197044071	2.105765
chr1	2600001	3600000	0.985576359468198	2.041405
chr1	2700001	3700000	0.944289912401477	2.20521033333333
chr1	2800001	3800000	0.905488580139497	2.150847
chr1	2900001	3900000	0.871350387824956	1.990679
chr1	3000001	4000000	0.869516032855549	1.79915633333333
chr1	3100001	4100000	0.838934156138759	1.730414
chr1	3200001	4200000	0.813133444531207	1.66974966666667
chr1	3300001	4300000	0.7575865854294	1.59693033333333
chr1	3400001	4400000	0.734546523511325	1.45878666666667
chr1	3500001	4500000	0.709863173443344	1.26206666666667
chr1	3600001	4600000	0.714857003555163	1.14346166666667
chr1	3700001	4700000	0.756100272396994	1.00146633333333
chr1	3800001	4800000	0.748159230631051	0.984672
chr1	3900001	4900000	0.755246106332285	1.041876
chr1	4000001	5000000	0.73979477359149	1.118452
chr1	4100001	5100000	0.717677255686306	1.06495766666667
chr1	4200001	5200000	0.715476148789731	0.994834333333333
chr1	4300001	5300000	0.684457479732811	0.961453
chr1	4400001	5400000	0.684248108848676	0.969770333333333
chr1	4500001	5500000	0.676350566563674	0.983741
chr1	4600001	5600000	0.673988471784888	0.988647666666667
chr1	4700001	5700000	0.660765852693803	0.972812333333333
chr1	4800001	5800000	0.669023736886087	0.978643
chr1	4900001	5900000	0.680902647119982	1.03420433333333
chr1	5000001	6000000	0.695041349780625	1.112028
chr1	5100001	6100000	0.701548765597225	1.19945033333333
chr1	5200001	6200000	0.711780966691407	1.34686166666667
chr1	5300001	6300000	0.705792974066285	1.48448833333333
chr1	5400001	6400000	0.732336163461471	1.60246166666667
chr1	5500001	6500000	0.736294038709818	1.66039233333333
chr1	5600001	6600000	0.752738724310627	1.789263
chr1	5700001	6700000	0.774673566840545	1.88609733333333
chr1	5800001	6800000	0.779509938366782	1.861426
chr1	5900001	6900000	0.761724283321989	1.809135
chr1	6000001	7000000	0.76356629248515	1.774948
chr1	6100001	7100000	0.789587520938448	1.760265
chr1	6200001	7200000	0.78268395407439	1.67638166666667
chr1	6300001	7300000	0.805600057140631	1.56336
chr1	6400001	7400000	0.778977071123917	1.450579
chr1	6500001	7500000	0.781987885299275	1.40950733333333
chr1	6600001	7600000	0.793419690256651	1.33694366666667
chr1	6700001	7700000	0.78786243926005	1.29754533333333
chr1	6800001	7800000	0.76649229326517	1.35036266666667
chr1	6900001	7900000	0.765451607419937	1.345487
chr1	7000001	8000000	0.773667343548152	1.332172
chr1	7100001	8100000	0.735179887199433	1.288278
chr1	7200001	8200000	0.721067114830986	1.25753466666667
chr1	7300001	8300000	0.741127684129964	1.26832933333333
chr1	7400001	8400000	0.732028963701964	1.28101066666667
chr1	7500001	8500000	0.760024763066941	1.30896666666667
chr1	7600001	8600000	0.734990659267821	1.24504733333333
chr1	7700001	8700000	0.718651945884721	1.18047033333333
chr1	7800001	8800000	0.728982498679689	1.121756
chr1	7900001	8900000	0.722745733311048	1.13563366666667
chr1	8000001	9000000	0.725850870582305	1.173089
chr1	8100001	9100000	0.721265715995035	1.21112566666667
chr1	8200001	9200000	0.714911273641135	1.275999
chr1	8300001	9300000	0.748477128724236	1.32087566666667
chr1	8400001	9400000	0.753968677731509	1.39193566666667
chr1	8500001	9500000	0.727831444545003	1.41706066666667
