chrom	start	end	resolution	gpseq_score	dln_median
chr1	18117187	18217187	100000	1.6422124039441	0.651698533794769
chr1	27641096	27741096	100000	1.80878789548143	0.672440207482031
chr1	37289466	37389466	100000	1.64785473531839	0.622295751146018
chr1	113007969	113107969	100000	1.53032653791789	0.615798384885175
chr1	120430724	120530724	100000	1.46752464633461	0.609809286183958
chr1	219585773	219685773	100000	1.14281904654765	0.382181717352227
chr1	228870486	228970486	100000	1.38601589858229	0.521695432792271
chr1	238859047	238959047	100000	1.07255444222714	0.308993281240892
chr15	36198836	36298836	100000	1.36798578352893	0.540171037867398
chr15	51578406	51678406	100000	1.44755179167403	0.593114535169027
chr15	61176855	61276855	100000	1.48574539149114	0.62614874569227
chr15	70031838	70131838	100000	1.58262244646722	0.664969984534148
chr15	78066367	78166367	100000	1.68078433294306	0.64141436942205
chr15	86251972	86351972	100000	1.39935350777288	0.538710256580747
chr17	16319658	16419658	100000	1.52096941227313	0.560201797417238
chr17	41908445	42008445	100000	2.01048169897738	0.731972383680747
chr17	75774722	75874722	100000	1.68934801698376	0.7
chr18	5506605	5606605	100000	1.34925899785978	0.548163884629638
chr18	10337098	10437098	100000	1.43176628078199	0.552668875693841
chr18	33986236	34086236	100000	1.31563439329259	0.548310114494084
chr18	37442398	37542398	100000	1.2483859915971	0.531023959818017
chr18	40017464	40117464	100000	1.24386284961325	0.499118875527404
chr19	5208529	5308529	100000	1.86769497196235	0.7
chr19	9024253	9124253	100000	1.68560738700825	0.665061827419758
chr19	14225870	14325870	100000	1.66795549781065	0.675129866756442
chr19	42614231	42714231	100000	1.88189349715243	0.743917509312835
chr19	46280133	46380133	100000	2.11981995526849	0.697827333136124
chr21	15442868	15542868	100000	1.41690469356566	0.537750122441742
chr21	18963988	19063988	100000	1.24968898998554	0.44774082380544
chr21	23601136	23701136	100000	1.44576205102166	0.480806459359604
chr21	26401141	26501141	100000	1.42841734273538	0.495391690590998
chr21	29829715	29929715	100000	1.448051693213	0.49651450172684
chr21	33466146	33566146	100000	1.48852130773215	0.631484422650588
chr21	37318296	37418296	100000	1.54050053680225	0.619202697465284
chr21	41400333	41500333	100000	1.69029267604284	0.600556451289344
chr22:9	19066326	19166326	100000	1.78302788172542	0.747658826228394
chr22:9	23369692	23469692	100000	1.78984082183428	0.755357241610785
chr4	82535423	82635423	100000	1.22084090893577	0.378032651272006
chr4	90257411	90357411	100000	1.23417118956199	0.472583201717956
chr4	156617824	156717824	100000	1.1259706592406	0.388116397635409
chr4	164046175	164146175	100000	1.14555737577494	0.370034418996044
chr4	174395065	174495065	100000	1.16026873277129	0.330595378429567
chr7	18654169	18754169	100000	1.1567608878835	0.509134698521686
chr7	27935217	28035217	100000	1.37757927488378	0.586814898322325
chr7	37439027	37539027	100000	1.29573512048405	0.454545454545454
chr7	131180482	131280482	100000	1.37529768884658	0.468572837852439
chr7	140869884	140969884	100000	1.27847972428193	0.443945420455967
chr7	149977665	150077665	100000	1.26815240335297	0.391399408794876
chr8	12627594	12727594	100000	1.24402422487058	0.384483973595971
chr8	21581310	21681310	100000	1.53438152387548	0.451091582481404
chr8	30375747	30475747	100000	1.35186730811192	0.472295563112213
chr8	57852135	57952135	100000	1.26617298999955	0.384499877989256
chr8	67018670	67118670	100000	1.39500507891975	0.461263858636909
chr8	72462178	72562178	100000	1.22726487444992	0.408496407793379
chr8	113017764	113117764	100000	1.08655201190844	0.377322626907118
chr8	121585600	121685600	100000	1.12850968603261	0.357421890775859
chr8	130650760	130750760	100000	1.13296159530926	0.42180019915456
chr9:22	136857554	136957554	100000	1.51584294758743	0.589546183878894
chr9:22	140421095	140521095	100000	1.54021358771027	0.606097075512953
chr9:22	144886243	144986243	100000	1.39308522017877	0.504117455696381
chr9:22	149121042	149221042	100000	1.67181238157705	0.635473173720959
chrX	13753099	13853099	100000	1.24903961877487	0.446128643909308
chrX	22289265	22389265	100000	1.23749232518037	0.394074090713855
chrX	30761838	30861838	100000	1.23810946668242	0.449240112496354
chrX	67891761	67991761	100000	1.36668448038394	0.512983901638912
chrX	75968026	76068026	100000	1.2937385021494	0.420708934166068
chrX	122491455	122591455	100000	1.19837051250051	0.399339566483526
chrX	133709360	133809360	100000	1.4541933204526	0.511661016966044
chrX	141369366	141469366	100000	1.08874012224946	0.36829892143397
