chrom	start	end	gpseq_score	dsn_median
chr1	1000000	2000000	1	0.34369
chr1	2000000	3000000	0.989834697976209	0.3402045
chr1	3000000	4000000	0.879283176270663	0.3374815
chr1	4000000	5000000	0.748648231113858	0.3361205
chr1	5000000	6000000	0.654818476749575	0.342286
chr1	6000000	7000000	0.778507647149699	0.347803
chr1	7000000	8000000	0.836230495906071	0.3360525
chr1	8000000	9000000	0.775782481075235	0.3328495
chr1	9000000	10000000	0.721798238838251	0.328891
chr1	10000000	11000000	0.811018075081107	0.3301365
chr1	11000000	12000000	0.798467480302797	0.3322025
chr1	12000000	13000000	0.679635408620424	0.334153
chr1	13000000	14000000	0.649467016839178	0.330886
chr1	14000000	15000000	0.543055770122046	0.330373
chr1	15000000	16000000	0.707813996601267	0.3329825
chr1	16000000	17000000	0.827653329213657	0.344337
chr1	17000000	18000000	0.962688088985015	0.335223
chr1	18000000	19000000	0.926785107369072	0.3222625
chr1	19000000	20000000	0.876848447396879	0.321358
chr1	20000000	21000000	0.809819249188939	0.312738
chr1	21000000	22000000	0.854373551676193	0.3112275
chr1	22000000	23000000	0.88138421133941	0.3127695
chr1	23000000	24000000	0.793492970801792	0.3168645
chr1	24000000	25000000	0.878720840414028	0.3150045
chr1	25000000	26000000	0.857296462227715	0.316956
chr1	26000000	27000000	0.845610999536537	0.3246525
chr1	27000000	28000000	0.876205777846439	0.3287915
chr1	28000000	29000000	0.805678974200525	0.330683
chr1	29000000	30000000	0.811975899891859	0.325151
chr1	30000000	31000000	0.875711416653793	0.326661
chr1	31000000	32000000	0.851116947319636	0.33362
chr1	32000000	33000000	0.860874401359493	0.341594
chr1	33000000	34000000	0.707053916267573	0.339599
chr1	34000000	35000000	0.65724702610845	0.3394035
chr1	35000000	36000000	0.648255831917195	0.345791
chr1	36000000	37000000	0.660441835315928	0.341734
chr1	37000000	38000000	0.904081569596787	0.3352805
chr1	38000000	39000000	0.669933570214739	0.3363515
chr1	39000000	40000000	0.669791441371853	0.340708
chr1	40000000	41000000	0.699928935578557	0.347436
chr1	41000000	42000000	0.784872547505021	0.3470285
chr1	42000000	43000000	0.68463463618106	0.338605
chr1	43000000	44000000	0.920432566043566	0.339153
chr1	44000000	45000000	0.781313146917967	0.343873
chr1	45000000	46000000	0.713542406921057	0.352701
chr1	46000000	47000000	0.651277614707246	0.354655
chr1	47000000	48000000	0.525487409238375	0.3510425
chr1	48000000	49000000	0.516601266800556	0.346826
chr1	49000000	50000000	0.285586281476904	0.3475245
chr1	50000000	51000000	0.355186157886606	0.35107
chr1	51000000	52000000	0.361699366599722	0.353772
chr1	52000000	53000000	0.459551985169164	0.35394
chr1	53000000	54000000	0.694367372161285	0.351324
chr1	54000000	55000000	0.751466089911942	0.3533305
chr1	55000000	56000000	0.541325505947783	0.34464
chr1	56000000	57000000	0.340033987331995	0.336368
chr1	57000000	58000000	0.270780163757145	0.3355225
chr1	58000000	59000000	0.348475204696432	0.331928
chr1	59000000	60000000	0.34104742777692	0.3347195
chr1	60000000	61000000	0.328706936505485	0.336238
chr1	61000000	62000000	0.303296771203461	0.3391035
chr1	62000000	63000000	0.477725938513827	0.3395905
chr1	63000000	64000000	0.348333075853546	0.335469
chr1	64000000	65000000	0.344137185230959	0.3312065
chr1	65000000	66000000	0.359857871157114	0.329433
chr1	66000000	67000000	0.365357639425305	0.3292785
chr1	67000000	68000000	0.414966785107369	0.3309695
chr1	68000000	69000000	0.363083577939132	0.323002
chr1	69000000	70000000	0.200339873319945	0.32386
chr1	70000000	71000000	0.232182913641279	0.329878
chr1	71000000	72000000	0.203565580101963	0.320197
chr1	72000000	73000000	0.207007569905763	0.315631
chr1	73000000	74000000	0.230971728719296	0.3174625
chr1	74000000	75000000	0.315519851691642	0.3214365
chr1	75000000	76000000	0.284109377413873	0.331702
chr1	76000000	77000000	0.260812606210413	0.3318125
chr1	77000000	78000000	0.291598949482466	0.335477
chr1	78000000	79000000	0.304334929708018	0.3309735
chr1	79000000	80000000	0.328088985014677	0.327844
chr1	80000000	81000000	0.308098254287039	0.327844
chr1	81000000	82000000	0.289813069674031	0.3325365
chr1	82000000	83000000	0.304687162057778	0.331974
chr1	83000000	84000000	0.40231731809053	0.335414
chr1	84000000	85000000	0.308098254287039	0.3438155
chr1	85000000	86000000	0.36740305885988	0.3548315
chr1	86000000	87000000	0.339551985169165	0.356595
chr1	87000000	88000000	0.363596477676503	0.361949
chr1	88000000	89000000	0.313542406921057	0.3709715
chr1	89000000	90000000	0.41203769504094	0.374571
chr1	90000000	91000000	0.379898038004017	0.3742145
chr1	91000000	92000000	0.456542561408929	0.3807315
chr1	92000000	93000000	0.493403367835625	0.3836025
chr1	93000000	94000000	0.481662289510274	0.3918235
chr1	94000000	95000000	0.475390081878572	0.3939735
chr1	95000000	96000000	0.42635563108296	0.396514
chr1	96000000	97000000	0.311670013903909	0.398205
chr1	97000000	98000000	0.272720531438283	0.4024295
chr1	98000000	99000000	0.325913795767032	0.40916
chr1	99000000	100000000	0.290146763479067	0.4153875
chr1	100000000	101000000	0.321248262011432	0.4233905
chr1	101000000	102000000	0.343191719450024	0.433289
chr1	102000000	103000000	0.390520624131006	0.4387805
chr1	103000000	104000000	0.393869921211185	0.4505695
chr1	104000000	105000000	0.419014367372161	0.4600875
chr1	105000000	106000000	0.460997991657655	0.4661205
chr1	106000000	107000000	0.390409392862661	0.467473
chr1	107000000	108000000	0.224835470415573	0.475731
chr1	108000000	109000000	0.301127761470725	0.481622
chr1	109000000	110000000	0.42342654101653	0.486913
chr1	110000000	111000000	0.689176579638498	0.497002
chr1	111000000	112000000	0.635488954117102	0.5026815
chr1	112000000	113000000	0.648781090684381	0.5074195
chr1	113000000	114000000	0.587943766414337	0.5145385
chr1	114000000	115000000	0.646451413564036	0.525764
chr1	115000000	116000000	0.5941109222926	0.537758
chr1	116000000	117000000	0.495782481075236	0.5470325
chr1	117000000	118000000	0.559882589216747	0.561794
chr1	118000000	119000000	0.477231577321181	0.5787125
chr1	119000000	120000000	0.45393480611772	0.59199
chr1	151000000	152000000	0.744582110304342	0.512642
chr1	152000000	153000000	0.604999227560636	0.506292
chr1	153000000	154000000	0.821615943148463	0.4989955
chr1	154000000	155000000	0.82909315618724	0.4896125
chr1	155000000	156000000	0.948697667233123	0.4791845
chr1	156000000	157000000	0.781226633709254	0.475222
chr1	157000000	158000000	0.549414490962459	0.4697105
chr1	158000000	159000000	0.402280241001082	0.465423
chr1	159000000	160000000	0.441489263092847	0.461921
chr1	160000000	161000000	0.589859416035841	0.455939
chr1	161000000	162000000	0.482391472269427	0.4490745
chr1	162000000	163000000	0.445722230804882	0.438095
chr1	163000000	164000000	0.292890468098255	0.430013
chr1	164000000	165000000	0.319857871157114	0.4222145
chr1	165000000	166000000	0.36141510891395	0.421285
chr1	166000000	167000000	0.444640815695968	0.4154215
chr1	167000000	168000000	0.377179051444462	0.408591
chr1	168000000	169000000	0.33747566816005	0.400884
chr1	169000000	170000000	0.314790668932489	0.3995
chr1	170000000	171000000	0.219298625057933	0.393443
chr1	171000000	172000000	0.365833462073227	0.3894785
chr1	172000000	173000000	0.22867294917349	0.3883455
chr1	173000000	174000000	0.384001235902982	0.384563
chr1	174000000	175000000	0.342110304341109	0.3857565
chr1	175000000	176000000	0.409664761316237	0.383451
chr1	176000000	177000000	0.347467943766415	0.376566
chr1	177000000	178000000	0.331710180750811	0.378055
chr1	178000000	179000000	0.437472578402596	0.374415
chr1	179000000	180000000	0.415893712343581	0.3728875
chr1	180000000	181000000	0.384106287656419	0.3706905
chr1	181000000	182000000	0.456851537154334	0.3662875
chr1	182000000	183000000	0.397484937432412	0.3647335
chr1	183000000	184000000	0.406383438900047	0.357125
chr1	184000000	185000000	0.270514444616098	0.3497155
chr1	185000000	186000000	0.263661362583037	0.341431
chr1	186000000	187000000	0.104996137803183	0.3308625
chr1	187000000	188000000	0.130251815232505	0.313188
chr1	188000000	189000000	0.186590452649467	0.308459
chr1	189000000	190000000	0.193437355167619	0.3054995
chr1	190000000	191000000	0.114104742777692	0.3039495
chr1	191000000	192000000	0.230291982079407	0.307495
chr1	192000000	193000000	0.160988722385293	0.309481
chr1	193000000	194000000	0.194277769195118	0.310331
chr1	194000000	195000000	0.146089911941913	0.307643
chr1	195000000	196000000	0.209633863741696	0.3112445
chr1	196000000	197000000	0.100089602966168	0.3158895
chr1	197000000	198000000	0.175782481075236	0.32037
chr1	198000000	199000000	0.180892939904218	0.317646
chr1	199000000	200000000	0.243633554765951	0.324871
chr1	200000000	201000000	0.349420670477368	0.334189
chr1	201000000	202000000	0.65180905298934	0.3441665
chr1	202000000	203000000	0.70561408929399	0.3485465
chr1	203000000	204000000	0.730764714969875	0.350035
