chrom	start	end	gpseq_score	GC_percentage
chr1	100001	1100000	1.95820457861191	0.41534
chr1	200001	1200000	2.00718106997393	0.44295
chr1	300001	1300000	2.10416596079957	0.490696
chr1	400001	1400000	2.09740617501508	0.513806
chr1	500001	1500000	2.10239999839256	0.539158
chr1	600001	1600000	2.01778015992248	0.560375
chr1	700001	1700000	2.00805721297993	0.572964
chr1	800001	1800000	1.95749441865197	0.576037
chr1	900001	1900000	2.00902878835612	0.574739
chr1	1000001	2000000	2.05199344520332	0.568915
chr1	1100001	2100000	2.02319384770008	0.564771
chr1	1200001	2200000	2.03626171097336	0.561404
chr1	1300001	2300000	1.96237494845798	0.557499
chr1	1400001	2400000	1.99101850230025	0.561257
chr1	1500001	2500000	1.99732786218846	0.567003
chr1	1600001	2600000	2.05102616607268	0.567493
chr1	1700001	2700000	2.05395558648594	0.542768
chr1	1800001	2800000	2.12588483887227	0.552793
chr1	1900001	2900000	2.13138190136816	0.554838
chr1	2000001	3000000	2.08251708690573	0.553133
chr1	2100001	3100000	2.08319364395242	0.555209
chr1	2200001	3200000	2.05877256497186	0.554009
chr1	2300001	3300000	2.126387832064	0.551361
chr1	2400001	3400000	2.06711669233055	0.54972
chr1	2500001	3500000	2.04419448315095	0.548165
chr1	2600001	3600000	1.99326512285224	0.548345
chr1	2700001	3700000	1.95172630376937	0.577231
chr1	2800001	3800000	1.89046208484544	0.570118
chr1	2900001	3900000	1.85466968877979	0.536516
chr1	3000001	4000000	1.85390782098578	0.484134
chr1	3100001	4100000	1.80376850342754	0.475518
chr1	3200001	4200000	1.77336998447052	0.469213
chr1	3300001	4300000	1.70975701462859	0.459401
chr1	3400001	4400000	1.68294715097204	0.447373
chr1	3500001	4500000	1.65413023185284	0.433135
chr1	3600001	4600000	1.64820054377179	0.423915
chr1	3700001	4700000	1.67080180785014	0.413212
chr1	3800001	4800000	1.66775621527462	0.415932
chr1	3900001	4900000	1.67344420116388	0.439733
chr1	4000001	5000000	1.65872183925339	0.482201
chr1	4100001	5100000	1.63878557684576	0.47706
chr1	4200001	5200000	1.63096030083775	0.467599
chr1	4300001	5300000	1.61142514910809	0.463551
chr1	4400001	5400000	1.61578668435846	0.464267
chr1	4500001	5500000	1.60947907025995	0.464637
chr1	4600001	5600000	1.60890267007671	0.465931
chr1	4700001	5700000	1.59562072067537	0.461821
chr1	4800001	5800000	1.60375423310948	0.458553
chr1	4900001	5900000	1.61396187047627	0.462227
chr1	5000001	6000000	1.63319997264152	0.469288
chr1	5100001	6100000	1.64576628447379	0.47709
chr1	5200001	6200000	1.65829475374836	0.491854
chr1	5300001	6300000	1.65129607419941	0.503195
chr1	5400001	6400000	1.68047524361981	0.512673
chr1	5500001	6500000	1.68967130340566	0.518101
chr1	5600001	6600000	1.70569849247721	0.526096
chr1	5700001	6700000	1.73131377579327	0.535615
chr1	5800001	6800000	1.73578177387214	0.532634
chr1	5900001	6900000	1.71052508695752	0.524871
chr1	6000001	7000000	1.70464251499132	0.51752
chr1	6100001	7100000	1.72584788520355	0.513177
chr1	6200001	7200000	1.72006628286771	0.505834
chr1	6300001	7300000	1.74161785052122	0.496754
chr1	6400001	7400000	1.71141347813954	0.484038
chr1	6500001	7500000	1.70969618622192	0.48032
chr1	6600001	7600000	1.72029304923393	0.477147
chr1	6700001	7700000	1.71310024287699	0.476121
chr1	6800001	7800000	1.69927984670249	0.481664
chr1	6900001	7900000	1.70399667220348	0.479212
chr1	7000001	8000000	1.7150585532016	0.479461
chr1	7100001	8100000	1.68435515688645	0.476361
chr1	7200001	8200000	1.66832885765355	0.471595
chr1	7300001	8300000	1.68670679336875	0.473936
chr1	7400001	8400000	1.68171291890757	0.477991
chr1	7500001	8500000	1.70009296438455	0.475476
chr1	7600001	8600000	1.67096993076825	0.463819
chr1	7700001	8700000	1.653494811313	0.451045
chr1	7800001	8800000	1.6512861428094	0.439547
chr1	7900001	8900000	1.63951496383506	0.44068
chr1	8000001	9000000	1.64147918875392	0.444356
chr1	8100001	9100000	1.63617586742173	0.448965
chr1	8200001	9200000	1.62958425777247	0.45328
chr1	8300001	9300000	1.66337902361864	0.455816
chr1	8400001	9400000	1.66960382965023	0.461009
chr1	8500001	9500000	1.65302338513346	0.466351
chr1	8600001	9600000	1.66493262681225	0.47344
chr1	8700001	9700000	1.66545667398975	0.484738
chr1	8800001	9800000	1.70067358445848	0.495425
chr1	8900001	9900000	1.7216372425906	0.500509
chr1	9000001	10000000	1.73141600986702	0.50197
chr1	9100001	10100000	1.73292695549566	0.499454
chr1	9200001	10200000	1.7581485849554	0.495144
chr1	9300001	10300000	1.70477689663181	0.489656
chr1	9400001	10400000	1.68334228390105	0.477585
chr1	9500001	10500000	1.68210540360896	0.471205
chr1	9600001	10600000	1.67335601834852	0.468007
chr1	9700001	10700000	1.69910699520816	0.463331
chr1	9800001	10800000	1.6937764094468	0.47032
chr1	9900001	10900000	1.72076536041464	0.4765
chr1	10000001	11000000	1.73422202680108	0.478274
chr1	10100001	11100000	1.77086157233556	0.480327
chr1	10200001	11200000	1.75485859068685	0.485006
chr1	10300001	11300000	1.79185272931054	0.483922
chr1	10400001	11400000	1.81515736001031	0.492523
chr1	10500001	11500000	1.81381712574766	0.495799
chr1	10600001	11600000	1.83330979160041	0.50244
chr1	10700001	11700000	1.84060293203609	0.506412
chr1	10800001	11800000	1.84654533376425	0.501907
chr1	10900001	11900000	1.81897867861703	0.500278
chr1	11000001	12000000	1.78942203404226	0.500043
chr1	11100001	12100000	1.76333827071648	0.503269
chr1	11200001	12200000	1.7712639176789	0.505421
chr1	11300001	12300000	1.76108309903101	0.514245
chr1	11400001	12400000	1.71280133982185	0.506418
chr1	11500001	12500000	1.67836691165046	0.498084
chr1	11600001	12600000	1.64920149454766	0.490175
chr1	11700001	12700000	1.6179594718916	0.491627
chr1	11800001	12800000	1.58230284679397	0.482102
chr1	11900001	12900000	1.57055752594501	0.475036
chr1	12000001	13000000	1.56539311422859	0.469178
chr1	12100001	13100000	1.55552730163796	0.441065
chr1	12200001	13200000	1.52002777710105	0.43496
chr1	12300001	13300000	1.49846490053745	0.391922
chr1	12400001	13400000	1.51286175961335	0.38715
chr1	12500001	13500000	1.51938701612171	0.39219
chr1	12600001	13600000	1.49868727488035	0.374144
chr1	12700001	13700000	1.49385221757291	0.365353
chr1	12800001	13800000	1.48697258514443	0.368448
chr1	12900001	13900000	1.49512561202888	0.371342
chr1	13000001	14000000	1.46004922055514	0.370922
chr1	13100001	14100000	1.4206384574582	0.387599
chr1	13200001	14200000	1.44087636395651	0.388618
chr1	13300001	14300000	1.43882627144267	0.423334
chr1	13400001	14400000	1.43377247499247	0.42859
chr1	13500001	14500000	1.44790839783435	0.425463
chr1	13600001	14600000	1.45013835363669	0.439638
chr1	13700001	14700000	1.45323498366209	0.438995
chr1	13800001	14800000	1.45954723684626	0.434814
chr1	13900001	14900000	1.46281461852567	0.430605
chr1	14000001	15000000	1.45857614376275	0.431262
chr1	14100001	15100000	1.49256450855627	0.437672
chr1	14200001	15200000	1.50583689275058	0.440636
chr1	14300001	15300000	1.51878495536689	0.446866
chr1	14400001	15400000	1.52676963451385	0.456601
chr1	14500001	15500000	1.53131478971252	0.463029
chr1	14600001	15600000	1.53511403538358	0.468402
chr1	14700001	15700000	1.54834189827765	0.474231
chr1	14800001	15800000	1.5628026103979	0.482085
chr1	14900001	15900000	1.57124913203778	0.484615
chr1	15000001	16000000	1.61994434324242	0.48383
chr1	15100001	16100000	1.62985206140479	0.490128
chr1	15200001	16200000	1.62592792169675	0.48937
chr1	15300001	16300000	1.61805528962385	0.484425
chr1	15400001	16400000	1.65189763169098	0.488038
chr1	15500001	16500000	1.67689715143498	0.492904
chr1	15600001	16600000	1.69721984946526	0.497379
chr1	15700001	16700000	1.69271735980544	0.494125
chr1	15800001	16800000	1.71988237013008	0.492069
chr1	15900001	16900000	1.72907954675922	0.493469
chr1	16000001	17000000	1.71842429399506	0.496197
chr1	16100001	17100000	1.72399893194701	0.492911
chr1	16200001	17200000	1.73698346303972	0.467899
chr1	16300001	17300000	1.78448370230579	0.474003
chr1	16400001	17400000	1.7768250977169	0.468907
chr1	16500001	17500000	1.79308944707641	0.464397
chr1	16600001	17600000	1.83730361557797	0.464503
chr1	16700001	17700000	1.89994942716536	0.46876
chr1	16800001	17800000	1.90643489872246	0.470701
chr1	16900001	17900000	1.93056597134121	0.474167
chr1	17000001	18000000	1.91731536994243	0.481437
chr1	17100001	18100000	1.91644684534051	0.483123
chr1	17200001	18200000	1.91901294061165	0.508686
chr1	17300001	18300000	1.92517210173064	0.505542
chr1	17400001	18400000	1.90670040846826	0.503436
chr1	17500001	18500000	1.88141975500809	0.50396
chr1	17600001	18600000	1.88713140780656	0.501936
chr1	17700001	18700000	1.88924756171549	0.502706
chr1	17800001	18800000	1.90518820263795	0.499512
chr1	17900001	18900000	1.91203811206608	0.496079
chr1	18000001	19000000	1.92898148010456	0.491613
chr1	18100001	19100000	1.93665323230478	0.490202
chr1	18200001	19200000	1.93903595686898	0.492918
chr1	18300001	19300000	1.93879825168703	0.497824
chr1	18400001	19400000	1.97234965212218	0.498432
chr1	18500001	19500000	2.00557205879764	0.492779
chr1	18600001	19600000	1.99441475225032	0.489351
chr1	18700001	19700000	1.98587844200527	0.491109
chr1	18800001	19800000	1.94253943844836	0.491105
chr1	18900001	19900000	1.89058481182513	0.489736
chr1	19000001	20000000	1.86355082125821	0.487321
chr1	19100001	20100000	1.83651919502939	0.486396
chr1	19200001	20200000	1.80199837779269	0.480248
chr1	19300001	20300000	1.77847752147737	0.471845
chr1	19400001	20400000	1.76648335623572	0.465127
chr1	19500001	20500000	1.77008053393629	0.470138
chr1	19600001	20600000	1.76704515523055	0.470581
chr1	19700001	20700000	1.7722063010174	0.469307
chr1	19800001	20800000	1.79144314655466	0.469953
chr1	19900001	20900000	1.82434757602021	0.472892
chr1	20000001	21000000	1.8477476293363	0.473806
chr1	20100001	21100000	1.85374971918697	0.473456
chr1	20200001	21200000	1.8238455923594	0.470392
chr1	20300001	21300000	1.82258300483514	0.46323
chr1	20400001	21400000	1.77078131994631	0.459885
chr1	20500001	21500000	1.74449562023899	0.450294
chr1	20600001	21600000	1.74903857916708	0.453883
chr1	20700001	21700000	1.72688417733409	0.454912
chr1	20800001	21800000	1.69959132880421	0.452314
