chrom	start	end	gpseq_score	eigen
chr1	1e+06	2e+06	1.0370261224714	0.0908230168693695
chr1	2e+06	3e+06	1.05832833285038	0.0876544242980484
chr1	3e+06	4e+06	0.890569512834657	0.0740008883608471
chr1	4e+06	5e+06	0.730071972625245	0.00147743843843264
chr1	5e+06	6e+06	0.707701448508457	0.0169786872668643
chr1	6e+06	7e+06	0.769469219645801	0.10237540545339
chr1	7e+06	8e+06	0.778257831775088	0.0801998987821314
chr1	8e+06	9e+06	0.714996459035575	0.0886571915732907
chr1	9e+06	1e+07	0.791952404810749	0.0963000558008881
chr1	1e+07	1.1e+07	0.79428861393427	0.0965510741258252
chr1	1.1e+07	1.2e+07	0.839493686223711	0.104176470597749
chr1	1.2e+07	1.3e+07	0.646525003949735	0.0702674297372463
chr1	1.3e+07	1.4e+07	0.546017005443558	0.00708100813522011
chr1	1.4e+07	1.5e+07	0.54456070290492	0.011138093442306
chr1	1.5e+07	1.6e+07	0.695944246994152	0.0934839482001732
chr1	1.6e+07	1.7e+07	0.781086294489529	0.0569110466245601
chr1	1.7e+07	1.8e+07	0.939087658461981	0.0892993976512211
chr1	1.8e+07	1.9e+07	0.947839292329699	0.0698823586546507
chr1	1.9e+07	2e+07	0.898054163621322	0.101419739867142
chr1	2e+07	2.1e+07	0.885767722788413	0.0925148880411068
chr1	2.1e+07	2.2e+07	0.794203815479038	0.0910316910418217
chr1	2.2e+07	2.3e+07	0.92702403712517	0.0942712550106883
chr1	2.3e+07	2.4e+07	0.829929483935699	0.0860670824975792
chr1	2.4e+07	2.5e+07	0.888539913751761	0.0870579611643359
chr1	2.5e+07	2.6e+07	0.876024169726035	0.0911301572159849
chr1	2.6e+07	2.7e+07	0.894018558524553	0.0916391861359078
chr1	2.7e+07	2.8e+07	0.877834518231347	0.0910186030044087
chr1	2.8e+07	2.9e+07	0.800172674005426	0.08969538971461
chr1	2.9e+07	3e+07	0.793804036820379	0.0745429134606818
chr1	3e+07	3.1e+07	0.852068566156006	0.0710466106552064
chr1	3.1e+07	3.2e+07	0.830533856676407	0.0993696532617538
chr1	3.2e+07	3.3e+07	0.851651765442052	0.0959922992949183
chr1	3.3e+07	3.4e+07	0.674195084950185	0.053251711866101
chr1	3.4e+07	3.5e+07	0.711974232610821	0.0223520459536679
chr1	3.5e+07	3.6e+07	0.658315926449558	0.093384749878766
chr1	3.6e+07	3.7e+07	0.677548923682698	0.0911762300669433
chr1	3.7e+07	3.8e+07	0.897838360493389	0.0862663442650741
chr1	3.8e+07	3.9e+07	0.713437138380178	0.0778811979723894
chr1	3.9e+07	4e+07	0.711529627485638	0.095377685188619
chr1	4e+07	4.1e+07	0.745462179357769	0.0923691217656331
chr1	4.1e+07	4.2e+07	0.805036048238901	0.0778840912284798
chr1	4.2e+07	4.3e+07	0.704012548755244	0.0870901433574366
chr1	4.3e+07	4.4e+07	0.853711212582665	0.0988403618126935
chr1	4.4e+07	4.5e+07	0.823702003762494	0.0963640408281265
chr1	4.5e+07	4.6e+07	0.726552512283702	0.088082560467546
chr1	4.6e+07	4.7e+07	0.625414315142048	0.0853472943750413
chr1	4.7e+07	4.8e+07	0.489061816866847	0.0282513811409138
chr1	4.8e+07	4.9e+07	0.476751535227418	-0.0284091413368494
chr1	4.9e+07	5e+07	0.373024484090391	-0.0442846838513019
chr1	5e+07	5.1e+07	0.348789563693253	-0.0161150988196606
chr1	5.1e+07	5.2e+07	0.366609738844142	0.0718609768365636
chr1	5.2e+07	5.3e+07	0.521046440834894	0.0910260781555906
chr1	5.3e+07	5.4e+07	0.690346166288879	0.0943143771447378
chr1	5.4e+07	5.5e+07	0.710755816563083	0.0829553912598796
chr1	5.5e+07	5.6e+07	0.488941983081979	-0.0439052703690091
chr1	5.6e+07	5.7e+07	0.361740200567761	-0.0507544274949957
chr1	5.7e+07	5.8e+07	0.312479927222828	-0.0547483044089594
chr1	5.8e+07	5.9e+07	0.346404513272519	-0.0468694439615597
chr1	5.9e+07	6e+07	0.333459617543135	-0.0636621506280598
chr1	6e+07	6.1e+07	0.338591196597436	-0.0685570042224457
chr1	6.1e+07	6.2e+07	0.259760731860826	0.0124610553651613
chr1	6.2e+07	6.3e+07	0.406844316916205	0.0530192462561536
chr1	6.3e+07	6.4e+07	0.34044787984191	-0.0171730743946846
chr1	6.4e+07	6.5e+07	0.34722081395546	-0.0295454466807968
chr1	6.5e+07	6.6e+07	0.298764512098994	-0.0639676810762918
chr1	6.6e+07	6.7e+07	0.352834695887442	-0.0710332216333631
chr1	6.7e+07	6.8e+07	0.301399407100199	-0.00140713356288999
chr1	6.8e+07	6.9e+07	0.300955766418738	-0.0588976937740099
chr1	6.9e+07	7e+07	0.211982958667894	-0.0719309220400767
chr1	7e+07	7.1e+07	0.208721682055092	-0.0227342778946718
chr1	7.1e+07	7.2e+07	0.22785446269433	-0.075581802836717
chr1	7.2e+07	7.3e+07	0.161684226173346	-0.077137190254317
chr1	7.3e+07	7.4e+07	0.183240286821866	-0.0776692464910438
chr1	7.4e+07	7.5e+07	0.274214698363114	-0.0754983829789497
chr1	7.5e+07	7.6e+07	0.244610589785304	-0.0706509671960849
chr1	7.6e+07	7.7e+07	0.256449300684182	-0.0698955688888615
chr1	7.7e+07	7.8e+07	0.283614287430395	-0.0565547334353423
chr1	7.8e+07	7.9e+07	0.266604630749671	-0.0737763391132311
chr1	7.9e+07	8e+07	0.363043084212733	-0.075852919511153
chr1	8e+07	8.1e+07	0.293696613611682	-0.0756830139245581
chr1	8.1e+07	8.2e+07	0.24700060838628	-0.0591111687713733
chr1	8.2e+07	8.3e+07	0.259167449490112	-0.0738752317941023
chr1	8.3e+07	8.4e+07	0.345678600796505	-0.0731228067551092
chr1	8.4e+07	8.5e+07	0.300297435311719	-0.0194532116326685
chr1	8.5e+07	8.6e+07	0.329782982971091	0.00730426992893922
chr1	8.6e+07	8.7e+07	0.352876260528954	-0.0363829424306166
chr1	8.7e+07	8.8e+07	0.375164620861847	-0.00996790136350734
chr1	8.8e+07	8.9e+07	0.346234301192487	0.0243927918409026
chr1	8.9e+07	9e+07	0.392790523549077	-0.0110503464672355
chr1	9e+07	9.1e+07	0.353787194283012	-0.0622714737478106
chr1	9.1e+07	9.2e+07	0.391089485421311	-0.0254867057184453
chr1	9.2e+07	9.3e+07	0.456305890266868	-0.000434729730120939
chr1	9.3e+07	9.4e+07	0.471989469700955	0.0438710059291993
chr1	9.4e+07	9.5e+07	0.51804207722043	0.0299873493884783
chr1	9.5e+07	9.6e+07	0.418631188239038	-0.0434572858636173
chr1	9.6e+07	9.7e+07	0.2857096568745	-0.0532215178430956
chr1	9.7e+07	9.8e+07	0.27327835227884	-0.0731795175452804
chr1	9.8e+07	9.9e+07	0.322931495832832	-0.0713018466113789
chr1	9.9e+07	1e+08	0.251390297235039	-0.048214945132671
chr1	1e+08	1.01e+08	0.300238651792414	0.0227141615723361
chr1	1.01e+08	1.02e+08	0.316084566410153	-0.0522844362033574
chr1	1.02e+08	1.03e+08	0.329120764875463	-0.0746480975512036
chr1	1.03e+08	1.04e+08	0.327505360556997	-0.0739095797643021
chr1	1.04e+08	1.05e+08	0.420112094452056	-0.0708917044541595
chr1	1.05e+08	1.06e+08	0.480972964088725	-0.0711942215541223
chr1	1.06e+08	1.07e+08	0.432239840643235	-0.0675936729659289
chr1	1.07e+08	1.08e+08	0.366277909577545	-0.0579113851290051
chr1	1.08e+08	1.09e+08	0.336144674252321	-0.0207935901320803
chr1	1.09e+08	1.1e+08	0.405134571004733	0.0797784430091009
chr1	1.1e+08	1.11e+08	0.65219491946517	0.0474444256489484
chr1	1.11e+08	1.12e+08	0.579047756864666	0.0449259143853115
chr1	1.12e+08	1.13e+08	0.649964291773089	0.0646205740906375
chr1	1.13e+08	1.14e+08	0.575401281617187	0.0497632805154083
chr1	1.14e+08	1.15e+08	0.601165512755102	0.0302908552785181
chr1	1.15e+08	1.16e+08	0.58216781186003	0.00913804348100069
chr1	1.16e+08	1.17e+08	0.513240250221246	0.0572995370905886
chr1	1.17e+08	1.18e+08	0.52968478788525	-0.00197751752929933
chr1	1.18e+08	1.19e+08	0.49366943914681	-0.0565720925806978
chr1	1.19e+08	1.2e+08	0.482513507007801	0.0210829574341626
chr1	1.2e+08	1.21e+08		-0.0389230822479586
chr1	1.21e+08	1.22e+08		-0.0594240107737488
chr1	1.22e+08	1.23e+08		-0.0686636794270867
chr1	1.23e+08	1.24e+08		-0.0693193221429709
chr1	1.24e+08	1.25e+08		-0.0701343372637901
chr1	1.25e+08	1.26e+08		-0.058392708045851
chr1	1.26e+08	1.27e+08		
chr1	1.27e+08	1.28e+08		
chr1	1.28e+08	1.29e+08		
chr1	1.29e+08	1.3e+08		
chr1	1.3e+08	1.31e+08		
chr1	1.31e+08	1.32e+08		
chr1	1.32e+08	1.33e+08		
chr1	1.33e+08	1.34e+08		
chr1	1.34e+08	1.35e+08		
chr1	1.35e+08	1.36e+08		
chr1	1.36e+08	1.37e+08		
chr1	1.37e+08	1.38e+08		
chr1	1.38e+08	1.39e+08		
chr1	1.39e+08	1.4e+08		
chr1	1.4e+08	1.41e+08		
chr1	1.41e+08	1.42e+08		
chr1	1.42e+08	1.43e+08		
chr1	1.43e+08	1.44e+08		-0.0477795999127216
chr1	1.44e+08	1.45e+08		-0.0671412664518469
chr1	1.45e+08	1.46e+08		0.0635576347114351
chr1	1.46e+08	1.47e+08		-0.0318395825866378
chr1	1.47e+08	1.48e+08		0.0421883126943676
chr1	1.48e+08	1.49e+08		-0.0321169393059984
chr1	1.49e+08	1.5e+08		-0.00505188056736558
chr1	1.5e+08	1.51e+08		0.0740801560919913
chr1	1.51e+08	1.52e+08	0.738567712623376	0.079422640855839
chr1	1.52e+08	1.53e+08	0.710363345104314	0.00366933414907873
chr1	1.53e+08	1.54e+08	0.776283738589322	0.0647876965728625
chr1	1.54e+08	1.55e+08	0.828041334937747	0.0786132923471433
chr1	1.55e+08	1.56e+08	0.900134864498011	0.0746692565615936
chr1	1.56e+08	1.57e+08	0.811637201083656	0.0825329927169997
chr1	1.57e+08	1.58e+08	0.471405449407729	-0.0112288007184142
chr1	1.58e+08	1.59e+08	0.427605393708301	-0.0492599090838115
chr1	1.59e+08	1.6e+08	0.461032657740982	-0.0418110867294017
chr1	1.6e+08	1.61e+08	0.556349883269647	0.0312606900216955
chr1	1.61e+08	1.62e+08	0.469628514008773	0.0616648725121235
chr1	1.62e+08	1.63e+08	0.418731915112615	0.000296332988388819
chr1	1.63e+08	1.64e+08	0.283026674356374	-0.0701052833316622
chr1	1.64e+08	1.65e+08	0.293831299987785	-0.0652274473503188
chr1	1.65e+08	1.66e+08	0.325527844017595	-0.0364833782172587
chr1	1.66e+08	1.67e+08	0.439051635481324	-0.0621977682810005
chr1	1.67e+08	1.68e+08	0.373792879329601	0.0382071339492016
chr1	1.68e+08	1.69e+08	0.341881434155138	-0.0259091511095163
chr1	1.69e+08	1.7e+08	0.266269540765795	-0.0634656983294879
chr1	1.7e+08	1.71e+08	0.224949225168691	-0.0630698753478785
chr1	1.71e+08	1.72e+08	0.313088059384214	-0.0539891589014656
chr1	1.72e+08	1.73e+08	0.24910828813594	-0.0762305085670585
chr1	1.73e+08	1.74e+08	0.330751397344531	-0.065190522957901
chr1	1.74e+08	1.75e+08	0.296960691546709	-0.0736944692462349
chr1	1.75e+08	1.76e+08	0.383714805540519	-0.0497147340812752
chr1	1.76e+08	1.77e+08	0.331018660053122	-0.0747388435109822
chr1	1.77e+08	1.78e+08	0.374814328207105	-0.0664278083588135
chr1	1.78e+08	1.79e+08	0.37105685492306	-0.0409948548815303
chr1	1.79e+08	1.8e+08	0.371991715710665	0.0253509874626245
chr1	1.8e+08	1.81e+08	0.387501425095178	0.0319888196827539
chr1	1.81e+08	1.82e+08	0.436923206510737	-0.0274770401387774
chr1	1.82e+08	1.83e+08	0.385505125556906	-0.0179690958473905
chr1	1.83e+08	1.84e+08	0.3464449408849	0.0498978255469696
chr1	1.84e+08	1.85e+08	0.217963505267392	-0.0359356558478983
chr1	1.85e+08	1.86e+08	0.184576749029247	-0.0736400747091015
chr1	1.86e+08	1.87e+08	0.116080454491362	-0.0733707642268409
chr1	1.87e+08	1.88e+08	0.118303110818504	-0.0753201308972683
chr1	1.88e+08	1.89e+08	0.135985253775233	-0.0763402005202765
chr1	1.89e+08	1.9e+08	0.114260732777608	-0.0764722075214359
chr1	1.9e+08	1.91e+08	0.101956522691457	-0.0773505728504665
